[thewall.engine.twilight.TwilightApp] [11:22:28] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.twilight.debugger.console.DebugConsole] [11:22:28] main/INFO ] - Showing up debug console
[thewall.engine.twilight.runtime.AbstractRuntime] [11:22:28] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:34] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:35] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.002
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.003
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:36] TEngine Main Thread/INFO ] - 0.004
